titulo,fecha,idioma,region,tema,coincidencias_semanticas,score_coincidencia,keywords
Seljuk Women's Medicine Fragment,1230,Turco medieval,Anatolia,medicina femenina,"calor, ciclo, medicina",3,luna ciclo cuerpo calor hierbas medicina femenina
Persian Medical Treatise,1240,Persa médico,Persia / Anatolia,medicina femenina,"calor, dolor, medicina",3,dolor calor hierbas medicina
Seljuk Herbal Preparation Fragment,1235,Turco medieval,Anatolia,preparacion herbal,"medicina, mezcla",2,hierba hervir agua mezcla preparacion medicina
Persian Gynecological Note,1245,Persa médico,Persia / Anatolia,ginecologia medieval,"ciclo, dolor",2,dolor ciclo hierba agua tratamiento ginecologia
Astrological Healing Notes,1250,Árabe médico,Anatolia,astrología médica,"medicina, sol",2,sol cuerpo astrologia medicina
Divrigi Darussifa Hydrotherapy Fragment,1228,Turco medieval / Persa médico,Anatolia Seljúcida,hidroterapia médica,"dolor, medicina",2,agua cuerpo purificacion dolor hidroterapia medicina
Astrological Medicine Lunar Fragment,1250,Árabe médico / Persa,Anatolia,astrologia medica,"medicina, sol",2,luna sol cuerpo paciente astrologia medicina
Medieval Tincture Preparation,1260,Persa médico / Turco medieval,Anatolia,farmacopea,"medicina, tintura",2,tintura medicina agua hierbas preparacion
Seljuk Herbal Fragment,1235,Turco medieval,Anatolia,botánica médica,medicina,1,hierba hervir medicina paciente
Divrigi Darussifa Notes,1228,Turco medieval / Persa médico,Anatolia Seljúcida,hidroterapia,,0,agua hidroterapia equilibrio cuerpo
