label,tipo,x,y
EVA_SEMANTICO,EVA,0.13486378,-0.1706105
Divrigi Darussifa Notes,CORPUS_MEDIEVAL,0.37873214,0.2798097
Seljuk Herbal Fragment,CORPUS_MEDIEVAL,0.26971337,0.15779427
Persian Medical Treatise,CORPUS_MEDIEVAL,-0.25485623,-0.3852565
Astrological Healing Notes,CORPUS_MEDIEVAL,-0.55279857,0.37915617
Divrigi Darussifa Hydrotherapy Fragment,CORPUS_MEDIEVAL,0.33327743,0.047891695
Seljuk Women's Medicine Fragment,CORPUS_MEDIEVAL,-0.1183067,-0.0879681
Seljuk Herbal Preparation Fragment,CORPUS_MEDIEVAL,0.325901,0.14501798
Persian Gynecological Note,CORPUS_MEDIEVAL,-0.21963654,-0.56461424
Astrological Medicine Lunar Fragment,CORPUS_MEDIEVAL,-0.4696549,0.38307217
Medieval Tincture Preparation,CORPUS_MEDIEVAL,0.17276546,-0.18429236
