titulo,fecha,idioma,tema,score_transformer,keywords
Seljuk Herbal Preparation Fragment,1235,Turco medieval,preparacion herbal,0.429,hierba hervir agua mezcla preparacion medicina
Divrigi Darussifa Hydrotherapy Fragment,1228,Turco medieval / Persa médico,hidroterapia médica,0.4149,agua cuerpo purificacion dolor hidroterapia medicina
Persian Medical Treatise,1240,Persa médico,medicina femenina,0.4107,dolor calor hierbas medicina
Seljuk Herbal Fragment,1235,Turco medieval,botánica médica,0.3967,hierba hervir medicina paciente
Seljuk Women's Medicine Fragment,1230,Turco medieval,medicina femenina,0.3876,luna ciclo cuerpo calor hierbas medicina femenina
Medieval Tincture Preparation,1260,Persa médico / Turco medieval,farmacopea,0.3815,tintura medicina agua hierbas preparacion
Astrological Medicine Lunar Fragment,1250,Árabe médico / Persa,astrologia medica,0.3101,luna sol cuerpo paciente astrologia medicina
Astrological Healing Notes,1250,Árabe médico,astrología médica,0.2899,sol cuerpo astrologia medicina
Persian Gynecological Note,1245,Persa médico,ginecologia medieval,0.2885,dolor ciclo hierba agua tratamiento ginecologia
Divrigi Darussifa Notes,1228,Turco medieval / Persa médico,hidroterapia,0.26,agua hidroterapia equilibrio cuerpo
